x_id,estimated_dollar_loss,possible_cause_detail,tfs_alarm_time,possible_cause,month,day_of_week
2364457,400,45 - Improperly Discarded,2011-06-12T18:23:46,Misuse of ignition source/material ignited,June,Sunday
2364459,0,73 - Natural Cause,2011-03-30T17:51:19,Other,March,Wednesday
2364460,300,45 - Improperly Discarded,2011-04-02T17:18:23,Misuse of ignition source/material ignited,April,Saturday
2364461,1000,44 - Unattended,2011-05-05T07:29:41,Misuse of ignition source/material ignited,May,Thursday
2364462,500,52 - Electrical Failure,2011-05-15T15:23:17,Mechanical/Electrical Failure,May,Sunday
2364463,500,52 - Electrical Failure,2011-05-17T20:28:08,Mechanical/Electrical Failure,May,Tuesday
2364464,100,11 - Children Playing (Ages 11 and under),2011-05-19T19:34:47,Unintentional,May,Thursday
2364466,30000,52 - Electrical Failure,2011-06-08T20:49:16,Mechanical/Electrical Failure,June,Wednesday
2364467,200,45 - Improperly Discarded,2011-06-15T07:03:31,Misuse of ignition source/material ignited,June,Wednesday
2364468,800,45 - Improperly Discarded,2011-06-20T00:56:34,Misuse of ignition source/material ignited,June,Monday
2364469,2000,52 - Electrical Failure,2011-06-23T00:37:29,Mechanical/Electrical Failure,June,Thursday
2364471,1500,47 - Improper handling of ignition source or ignited material,2016-01-24T00:38:52,Misuse of ignition source/material ignited,January,Sunday
2364472,0,45 - Improperly Discarded,2016-01-24T07:41:58,Misuse of ignition source/material ignited,January,Sunday
2364473,5000,44 - Unattended,2016-01-24T07:42:28,Misuse of ignition source/material ignited,January,Sunday
2364474,50,52 - Electrical Failure,2013-04-30T09:08:13,Mechanical/Electrical Failure,April,Tuesday
2364475,10,45 - Improperly Discarded,2016-01-27T22:33:45,Misuse of ignition source/material ignited,January,Wednesday
2364476,100,44 - Unattended,2016-06-05T14:16:49,Misuse of ignition source/material ignited,June,Sunday
2364477,20,51 - Mechanical Failure,2014-04-27T08:04:55,Mechanical/Electrical Failure,April,Sunday
2364478,1,45 - Improperly Discarded,2014-05-02T21:19:57,Misuse of ignition source/material ignited,May,Friday
2364479,20,47 - Improper handling of ignition source or ignited material,2015-08-30T18:37:11,Misuse of ignition source/material ignited,August,Sunday
2364480,4000,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2015-09-02T03:32:08,Design/Construction/Maintenance deficiency,September,Wednesday
2364481,0,45 - Improperly Discarded,2011-06-29T16:25:45,Misuse of ignition source/material ignited,June,Wednesday
2364482,500,47 - Improper handling of ignition source or ignited material,2011-06-29T17:44:03,Misuse of ignition source/material ignited,June,Wednesday
2364483,1000,52 - Electrical Failure,2011-08-25T00:18:44,Mechanical/Electrical Failure,August,Thursday
2364484,3000,12 - Vehicle Accident/Collision,2011-07-13T08:19:47,Unintentional,July,Wednesday
2364486,1500,47 - Improper handling of ignition source or ignited material,2011-08-04T21:47:53,Misuse of ignition source/material ignited,August,Thursday
2364487,20,45 - Improperly Discarded,2011-08-09T06:39:00,Misuse of ignition source/material ignited,August,Tuesday
2364488,0,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2016-06-19T18:30:58,Design/Construction/Maintenance deficiency,June,Sunday
2364489,1500,44 - Unattended,2016-06-20T07:07:03,Misuse of ignition source/material ignited,June,Monday
2364490,1500,45 - Improperly Discarded,2017-06-11T03:15:53,Misuse of ignition source/material ignited,June,Sunday
2364493,0,45 - Improperly Discarded,2015-01-21T19:08:24,Misuse of ignition source/material ignited,January,Wednesday
2364495,500,45 - Improperly Discarded,2013-05-03T16:07:06,Misuse of ignition source/material ignited,May,Friday
2364496,25000,52 - Electrical Failure,2015-01-23T12:54:14,Mechanical/Electrical Failure,January,Friday
2364498,10,20 - Design/Construction/Installation/Maintenance Deficiency,2014-04-22T09:31:23,Design/Construction/Maintenance deficiency,April,Tuesday
2364501,2000,44 - Unattended,2017-03-03T20:55:22,Misuse of ignition source/material ignited,March,Friday
2364502,2500,47 - Improper handling of ignition source or ignited material,2014-04-25T18:19:15,Misuse of ignition source/material ignited,April,Friday
2364503,2000,44 - Unattended,2016-01-30T15:24:48,Misuse of ignition source/material ignited,January,Saturday
2364506,1,45 - Improperly Discarded,2014-05-01T21:02:10,Misuse of ignition source/material ignited,May,Thursday
2364507,50,45 - Improperly Discarded,2014-05-04T01:28:43,Misuse of ignition source/material ignited,May,Sunday
2364508,20000,44 - Unattended,2013-05-20T15:36:32,Misuse of ignition source/material ignited,May,Monday
2364509,5000,45 - Improperly Discarded,2015-02-01T01:22:17,Misuse of ignition source/material ignited,February,Sunday
2364510,100,47 - Improper handling of ignition source or ignited material,2013-05-23T15:38:30,Misuse of ignition source/material ignited,May,Thursday
2364511,0,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2014-05-05T18:07:49,Design/Construction/Maintenance deficiency,May,Monday
2364513,1000,52 - Electrical Failure,2017-01-16T20:12:43,Mechanical/Electrical Failure,January,Monday
2364514,5000,52 - Electrical Failure,2017-01-17T01:34:01,Mechanical/Electrical Failure,January,Tuesday
2364515,5000,45 - Improperly Discarded,2013-05-24T23:32:50,Misuse of ignition source/material ignited,May,Friday
2364516,500,52 - Electrical Failure,2015-02-02T14:41:26,Mechanical/Electrical Failure,February,Monday
2364517,10000,46 - Used or Placed too close to combustibles,2016-06-11T00:40:23,Misuse of ignition source/material ignited,June,Saturday
2364518,1,47 - Improper handling of ignition source or ignited material,2016-06-11T08:53:59,Misuse of ignition source/material ignited,June,Saturday
2364520,300,52 - Electrical Failure,2013-05-31T18:33:56,Mechanical/Electrical Failure,May,Friday
2364521,2500,47 - Improper handling of ignition source or ignited material,2015-02-07T16:34:04,Misuse of ignition source/material ignited,February,Saturday
2364523,2000,44 - Unattended,2014-05-16T12:17:23,Misuse of ignition source/material ignited,May,Friday
2364525,0,47 - Improper handling of ignition source or ignited material,2014-05-17T16:40:25,Misuse of ignition source/material ignited,May,Saturday
2364526,9000,44 - Unattended,2014-05-20T22:24:26,Misuse of ignition source/material ignited,May,Tuesday
2364527,50,47 - Improper handling of ignition source or ignited material,2015-02-14T00:09:51,Misuse of ignition source/material ignited,February,Saturday
2364528,5000,47 - Improper handling of ignition source or ignited material,2015-08-30T19:13:44,Misuse of ignition source/material ignited,August,Sunday
2364529,500,45 - Improperly Discarded,2017-03-08T05:05:48,Misuse of ignition source/material ignited,March,Wednesday
2364530,5000,44 - Unattended,2013-06-19T23:26:43,Misuse of ignition source/material ignited,June,Wednesday
2364533,10000,47 - Improper handling of ignition source or ignited material,2017-01-20T08:43:48,Misuse of ignition source/material ignited,January,Friday
2364535,1,47 - Improper handling of ignition source or ignited material,2014-05-30T14:04:47,Misuse of ignition source/material ignited,May,Friday
2364536,10000,51 - Mechanical Failure,2016-09-14T11:16:58,Mechanical/Electrical Failure,September,Wednesday
2364537,3000,50 - Other misuse of ignition source/material ignited,2015-02-19T16:44:54,Misuse of ignition source/material ignitedl,February,Thursday
2364538,1000,46 - Used or Placed too close to combustibles,2016-11-27T11:56:39,Misuse of ignition source/material ignited,November,Sunday
2364539,0,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2014-12-06T08:31:20,Design/Construction/Maintenance deficiency,December,Saturday
2364540,0,45 - Improperly Discarded,2014-04-02T09:07:39,Misuse of ignition source/material ignited,April,Wednesday
2364541,0,50 - Other misuse of ignition source/material ignited,2013-05-08T01:44:50,Misuse of ignition source/material ignitedl,May,Wednesday
2364545,1000,20 - Design/Construction/Installation/Maintenance Deficiency,2016-07-30T19:45:54,Design/Construction/Maintenance deficiency,July,Saturday
2364546,10000,52 - Electrical Failure,2011-03-04T16:32:35,Mechanical/Electrical Failure,March,Friday
2364547,200,45 - Improperly Discarded,2016-07-03T20:50:01,Misuse of ignition source/material ignited,July,Sunday
2364548,10,51 - Mechanical Failure,2013-07-21T09:21:51,Mechanical/Electrical Failure,July,Sunday
2364550,0,45 - Improperly Discarded,2013-08-09T10:10:11,Misuse of ignition source/material ignited,August,Friday
2364551,1000,44 - Unattended,2016-07-04T22:05:15,Misuse of ignition source/material ignited,July,Monday
2364553,450,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2011-08-26T21:17:26,Design/Construction/Maintenance deficiency,August,Friday
2364554,500,52 - Electrical Failure,2015-03-03T18:06:41,Mechanical/Electrical Failure,March,Tuesday
2364555,25000,51 - Mechanical Failure,2014-06-23T13:49:29,Mechanical/Electrical Failure,June,Monday
2364556,0,47 - Improper handling of ignition source or ignited material,2013-07-24T12:21:05,Misuse of ignition source/material ignited,July,Wednesday
2364558,0,45 - Improperly Discarded,2015-03-13T17:01:19,Misuse of ignition source/material ignited,March,Friday
2364562,1500,44 - Unattended,2014-06-12T15:35:43,Misuse of ignition source/material ignited,June,Thursday
2364565,1500,44 - Unattended,2017-09-20T21:25:14,Misuse of ignition source/material ignited,September,Wednesday
2364566,1000,45 - Improperly Discarded,2017-09-24T01:54:03,Misuse of ignition source/material ignited,September,Sunday
2364567,200,11 - Children Playing (Ages 11 and under),2017-10-13T02:59:53,Unintentional,October,Friday
2364568,500,45 - Improperly Discarded,2013-03-25T00:53:33,Misuse of ignition source/material ignited,March,Monday
2364569,0,44 - Unattended,2015-03-19T20:37:29,Misuse of ignition source/material ignited,March,Thursday
2364570,300,20 - Design/Construction/Installation/Maintenance Deficiency,2011-01-28T20:53:50,Design/Construction/Maintenance deficiency,January,Friday
2364571,50,46 - Used or Placed too close to combustibles,2011-05-08T08:44:29,Misuse of ignition source/material ignited,May,Sunday
2364572,10000,12 - Vehicle Accident/Collision,2015-04-17T05:12:51,Unintentional,April,Friday
2364574,10000,52 - Electrical Failure,2012-08-16T22:14:22,Mechanical/Electrical Failure,August,Thursday
2364575,2000,20 - Design/Construction/Installation/Maintenance Deficiency,2013-11-20T20:37:56,Design/Construction/Maintenance deficiency,November,Wednesday
2364576,500,51 - Mechanical Failure,2012-11-02T22:08:35,Mechanical/Electrical Failure,November,Friday
2364577,0,20 - Design/Construction/Installation/Maintenance Deficiency,2015-08-30T18:49:17,Design/Construction/Maintenance deficiency,August,Sunday
2364578,1000,52 - Electrical Failure,2015-03-13T17:40:36,Mechanical/Electrical Failure,March,Friday
2364581,6000,44 - Unattended,2012-05-15T16:50:10,Misuse of ignition source/material ignited,May,Tuesday
2364582,500,51 - Mechanical Failure,2012-05-16T21:29:47,Mechanical/Electrical Failure,May,Wednesday
2364583,1000,52 - Electrical Failure,2014-07-11T21:09:19,Mechanical/Electrical Failure,July,Friday
2364584,1000,51 - Mechanical Failure,2016-03-07T13:24:50,Mechanical/Electrical Failure,March,Monday
2364585,0,44 - Unattended,2016-06-23T21:21:05,Misuse of ignition source/material ignited,June,Thursday
2364586,0,45 - Improperly Discarded,2015-02-28T00:57:04,Misuse of ignition source/material ignited,February,Saturday
2364587,1000,44 - Unattended,2015-02-28T19:18:33,Misuse of ignition source/material ignited,February,Saturday
2364588,100,45 - Improperly Discarded,2017-07-30T22:32:35,Misuse of ignition source/material ignited,July,Sunday
2364590,1000,45 - Improperly Discarded,2017-08-05T14:07:50,Misuse of ignition source/material ignited,August,Saturday
2364591,2000,44 - Unattended,2017-04-27T09:02:51,Misuse of ignition source/material ignited,April,Thursday
2364592,5500,12 - Vehicle Accident/Collision,2014-11-05T17:42:33,Unintentional,November,Wednesday
2364593,20000,52 - Electrical Failure,2012-12-11T19:48:00,Mechanical/Electrical Failure,December,Tuesday
2364595,200000,51 - Mechanical Failure,2016-06-06T05:42:19,Mechanical/Electrical Failure,June,Monday
2364597,0,45 - Improperly Discarded,2017-08-11T20:09:44,Misuse of ignition source/material ignited,August,Friday
2364599,300,45 - Improperly Discarded,2017-09-14T18:24:03,Misuse of ignition source/material ignited,September,Thursday
2364600,500,46 - Used or Placed too close to combustibles,2017-09-17T19:23:37,Misuse of ignition source/material ignited,September,Sunday
2364601,5000,44 - Unattended,2017-09-26T16:41:12,Misuse of ignition source/material ignited,September,Tuesday
2364603,1000,44 - Unattended,2017-10-02T13:25:52,Misuse of ignition source/material ignited,October,Monday
2364604,300,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2017-10-07T12:32:08,Design/Construction/Maintenance deficiency,October,Saturday
2364605,50,44 - Unattended,2017-10-12T23:36:34,Misuse of ignition source/material ignited,October,Thursday
2364607,5000,44 - Unattended,2017-10-23T06:41:09,Misuse of ignition source/material ignited,October,Monday
2364608,500,47 - Improper handling of ignition source or ignited material,2013-01-09T17:19:44,Misuse of ignition source/material ignited,January,Wednesday
2364609,0,45 - Improperly Discarded,2013-01-24T20:03:00,Misuse of ignition source/material ignited,January,Thursday
2364610,0,45 - Improperly Discarded,2013-01-30T20:32:57,Misuse of ignition source/material ignited,January,Wednesday
2364612,2500,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2013-02-27T15:26:19,Design/Construction/Maintenance deficiency,February,Wednesday
2364613,25,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2013-03-04T18:23:21,Design/Construction/Maintenance deficiency,March,Monday
2364615,500,52 - Electrical Failure,2013-03-29T03:04:39,Mechanical/Electrical Failure,March,Friday
2364617,5000,45 - Improperly Discarded,2013-03-01T14:54:26,Misuse of ignition source/material ignited,March,Friday
2364618,20000,47 - Improper handling of ignition source or ignited material,2013-03-09T15:32:34,Misuse of ignition source/material ignited,March,Saturday
2364619,300,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2013-03-16T11:38:25,Design/Construction/Maintenance deficiency,March,Saturday
2364620,3000,51 - Mechanical Failure,2013-03-24T09:34:53,Mechanical/Electrical Failure,March,Sunday
2364622,50000,12 - Vehicle Accident/Collision,2012-05-27T15:40:08,Unintentional,May,Sunday
2364623,2000,52 - Electrical Failure,2014-07-28T19:25:40,Mechanical/Electrical Failure,July,Monday
2364624,100000,12 - Vehicle Accident/Collision,2016-10-13T04:02:14,Unintentional,October,Thursday
2364625,60000,52 - Electrical Failure,2015-11-11T18:50:10,Mechanical/Electrical Failure,November,Wednesday
2364628,200000,12 - Vehicle Accident/Collision,2017-07-30T01:01:18,Unintentional,July,Sunday
2364629,50000,12 - Vehicle Accident/Collision,2012-11-16T06:59:05,Unintentional,November,Friday
2364632,1500,45 - Improperly Discarded,2011-01-28T19:42:19,Misuse of ignition source/material ignited,January,Friday
2364633,7000,52 - Electrical Failure,2011-01-11T17:36:11,Mechanical/Electrical Failure,January,Tuesday
2364636,1000,52 - Electrical Failure,2011-01-17T19:29:22,Mechanical/Electrical Failure,January,Monday
2364637,10000,52 - Electrical Failure,2011-01-24T14:04:41,Mechanical/Electrical Failure,January,Monday
2364638,200,44 - Unattended,2011-01-12T20:03:33,Misuse of ignition source/material ignited,January,Wednesday
2364641,300000,12 - Vehicle Accident/Collision,2016-06-01T00:34:04,Unintentional,June,Wednesday
2364643,50,20 - Design/Construction/Installation/Maintenance Deficiency,2011-01-16T19:05:46,Design/Construction/Maintenance deficiency,January,Sunday
2364644,100000,47 - Improper handling of ignition source or ignited material,2011-01-16T21:11:28,Misuse of ignition source/material ignited,January,Sunday
2364645,10000,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2011-01-11T11:49:19,Design/Construction/Maintenance deficiency,January,Tuesday
2364646,100,20 - Design/Construction/Installation/Maintenance Deficiency,2016-03-08T02:34:42,Design/Construction/Maintenance deficiency,March,Tuesday
2364647,10000,46 - Used or Placed too close to combustibles,2012-05-29T11:54:31,Misuse of ignition source/material ignited,May,Tuesday
2364649,5000,52 - Electrical Failure,2015-03-29T21:07:15,Mechanical/Electrical Failure,March,Sunday
2364650,25000,12 - Vehicle Accident/Collision,2015-03-30T08:18:50,Unintentional,March,Monday
2364652,300,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2012-06-14T15:03:52,Design/Construction/Maintenance deficiency,June,Thursday
2364653,20000,12 - Vehicle Accident/Collision,2013-06-09T18:43:41,Unintentional,June,Sunday
2364654,5000,52 - Electrical Failure,2014-06-06T00:09:20,Mechanical/Electrical Failure,June,Friday
2364656,5,44 - Unattended,2014-07-06T21:04:45,Misuse of ignition source/material ignited,July,Sunday
2364657,300,47 - Improper handling of ignition source or ignited material,2011-04-23T10:41:48,Misuse of ignition source/material ignited,April,Saturday
2364658,0,45 - Improperly Discarded,2016-07-11T07:54:45,Misuse of ignition source/material ignited,July,Monday
2364661,500,20 - Design/Construction/Installation/Maintenance Deficiency,2016-07-09T00:38:42,Design/Construction/Maintenance deficiency,July,Saturday
2364663,5000,51 - Mechanical Failure,2012-07-01T17:31:06,Mechanical/Electrical Failure,July,Sunday
2364664,20000,12 - Vehicle Accident/Collision,2015-10-18T00:26:40,Unintentional,October,Sunday
2364665,10000,52 - Electrical Failure,2017-04-20T19:57:46,Mechanical/Electrical Failure,April,Thursday
2364672,1000,47 - Improper handling of ignition source or ignited material,2011-01-06T15:55:21,Misuse of ignition source/material ignited,January,Thursday
2364673,0,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2011-01-06T19:37:13,Design/Construction/Maintenance deficiency,January,Thursday
2364674,15600,49 - Improper Storage,2011-01-13T01:28:21,Misuse of ignition source/material ignitedl,January,Thursday
2364677,5000,47 - Improper handling of ignition source or ignited material,2011-01-18T22:34:07,Misuse of ignition source/material ignited,January,Tuesday
2364678,2000,52 - Electrical Failure,2011-01-19T02:10:15,Mechanical/Electrical Failure,January,Wednesday
2364680,150000,52 - Electrical Failure,2015-10-22T07:07:48,Mechanical/Electrical Failure,October,Thursday
2364683,500,52 - Electrical Failure,2013-10-28T18:39:22,Mechanical/Electrical Failure,October,Monday
2364685,0,52 - Electrical Failure,2012-08-15T01:30:50,Mechanical/Electrical Failure,August,Wednesday
2364688,400,45 - Improperly Discarded,2011-01-07T12:48:24,Misuse of ignition source/material ignited,January,Friday
2364689,0,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2011-01-22T23:52:19,Design/Construction/Maintenance deficiency,January,Saturday
2364690,100000,20 - Design/Construction/Installation/Maintenance Deficiency,2011-01-28T01:08:35,Design/Construction/Maintenance deficiency,January,Friday
2364691,30000,52 - Electrical Failure,2011-01-07T02:39:52,Mechanical/Electrical Failure,January,Friday
2364694,12000,12 - Vehicle Accident/Collision,2011-02-11T21:20:04,Unintentional,February,Friday
2364696,25000,44 - Unattended,2014-07-14T06:18:42,Misuse of ignition source/material ignited,July,Monday
2364698,1000,45 - Improperly Discarded,2011-01-07T13:15:26,Misuse of ignition source/material ignited,January,Friday
2364699,50,47 - Improper handling of ignition source or ignited material,2011-01-14T01:33:52,Misuse of ignition source/material ignited,January,Friday
2364700,5000,52 - Electrical Failure,2011-01-14T08:37:06,Mechanical/Electrical Failure,January,Friday
2364702,1000,45 - Improperly Discarded,2011-01-14T19:05:47,Misuse of ignition source/material ignited,January,Friday
2364703,10000,44 - Unattended,2011-01-19T07:40:08,Misuse of ignition source/material ignited,January,Wednesday
2364704,3000,12 - Vehicle Accident/Collision,2013-11-06T09:27:16,Unintentional,November,Wednesday
2364706,6000,52 - Electrical Failure,2016-07-23T13:48:14,Mechanical/Electrical Failure,July,Saturday
2364707,8000,51 - Mechanical Failure,2013-11-10T19:32:42,Mechanical/Electrical Failure,November,Sunday
2364708,10000,52 - Electrical Failure,2015-05-06T21:38:02,Mechanical/Electrical Failure,May,Wednesday
2364709,12000,52 - Electrical Failure,2014-09-12T17:22:47,Mechanical/Electrical Failure,September,Friday
2364710,10000,51 - Mechanical Failure,2016-12-19T12:37:17,Mechanical/Electrical Failure,December,Monday
2364715,500,45 - Improperly Discarded,2012-09-14T03:29:31,Misuse of ignition source/material ignited,September,Friday
2364716,2000,52 - Electrical Failure,2014-09-22T02:48:45,Mechanical/Electrical Failure,September,Monday
2364717,0,45 - Improperly Discarded,2012-09-20T07:58:09,Misuse of ignition source/material ignited,September,Thursday
2364718,10000,52 - Electrical Failure,2017-02-10T22:50:51,Mechanical/Electrical Failure,February,Friday
2364719,100,52 - Electrical Failure,2013-12-06T13:45:17,Mechanical/Electrical Failure,December,Friday
2364722,1000,52 - Electrical Failure,2011-01-08T15:44:55,Mechanical/Electrical Failure,January,Saturday
2364723,10000,46 - Used or Placed too close to combustibles,2011-01-20T06:03:24,Misuse of ignition source/material ignited,January,Thursday
2364724,1000,46 - Used or Placed too close to combustibles,2011-01-26T10:05:56,Misuse of ignition source/material ignited,January,Wednesday
2364725,10000,20 - Design/Construction/Installation/Maintenance Deficiency,2011-01-26T15:26:08,Design/Construction/Maintenance deficiency,January,Wednesday
2364727,10000,45 - Improperly Discarded,2011-01-23T15:06:41,Misuse of ignition source/material ignited,January,Sunday
2364729,300,45 - Improperly Discarded,2011-01-23T19:02:14,Misuse of ignition source/material ignited,January,Sunday
2364732,30000,12 - Vehicle Accident/Collision,2012-11-01T03:31:37,Unintentional,November,Thursday
2364733,10000,51 - Mechanical Failure,2015-07-17T15:12:39,Mechanical/Electrical Failure,July,Friday
2364734,500,20 - Design/Construction/Installation/Maintenance Deficiency,2015-07-01T18:35:36,Design/Construction/Maintenance deficiency,July,Wednesday
2364735,800,44 - Unattended,2015-07-12T19:07:51,Misuse of ignition source/material ignited,July,Sunday
2364736,0,44 - Unattended,2014-05-18T15:25:32,Misuse of ignition source/material ignited,May,Sunday
2364737,10000,44 - Unattended,2016-02-02T21:11:58,Misuse of ignition source/material ignited,February,Tuesday
2364739,75,47 - Improper handling of ignition source or ignited material,2015-07-30T13:04:50,Misuse of ignition source/material ignited,July,Thursday
2364743,0,50 - Other misuse of ignition source/material ignited,2014-06-09T16:21:11,Misuse of ignition source/material ignitedl,June,Monday
2364745,1000,52 - Electrical Failure,2011-01-01T19:38:39,Mechanical/Electrical Failure,January,Saturday
2364746,2500,44 - Unattended,2011-01-01T22:29:58,Misuse of ignition source/material ignited,January,Saturday
2364747,0,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2011-01-02T13:04:57,Design/Construction/Maintenance deficiency,January,Sunday
2364748,1000,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2011-01-02T16:55:40,Design/Construction/Maintenance deficiency,January,Sunday
2364749,111,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2011-01-15T23:58:00,Design/Construction/Maintenance deficiency,January,Saturday
2364751,25000,52 - Electrical Failure,2015-05-19T19:50:44,Mechanical/Electrical Failure,May,Tuesday
2364752,25000,52 - Electrical Failure,2016-04-15T23:12:50,Mechanical/Electrical Failure,April,Friday
2364754,400,47 - Improper handling of ignition source or ignited material,2012-10-11T15:21:14,Misuse of ignition source/material ignited,October,Thursday
2364755,1000,51 - Mechanical Failure,2012-10-14T12:01:10,Mechanical/Electrical Failure,October,Sunday
2364756,9999,20 - Design/Construction/Installation/Maintenance Deficiency,2017-07-30T10:40:14,Design/Construction/Maintenance deficiency,July,Sunday
2364758,10,51 - Mechanical Failure,2011-01-30T17:16:03,Mechanical/Electrical Failure,January,Sunday
2364761,500,48 - Used for purpose not intended,2011-01-31T14:43:01,Misuse of ignition source/material ignited,January,Monday
2364762,5000,49 - Improper Storage,2011-01-31T19:58:24,Misuse of ignition source/material ignitedl,January,Monday
2364763,5000,52 - Electrical Failure,2011-01-02T19:32:02,Mechanical/Electrical Failure,January,Sunday
2364765,2000,46 - Used or Placed too close to combustibles,2011-02-08T04:24:15,Misuse of ignition source/material ignited,February,Tuesday
2364766,20000,52 - Electrical Failure,2011-02-08T12:20:15,Mechanical/Electrical Failure,February,Tuesday
2364767,3500,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2011-02-10T10:03:49,Design/Construction/Maintenance deficiency,February,Thursday
2364769,1500,45 - Improperly Discarded,2011-02-12T20:00:04,Misuse of ignition source/material ignited,February,Saturday
2364770,4000,44 - Unattended,2014-10-10T14:35:21,Misuse of ignition source/material ignited,October,Friday
2364771,3000,12 - Vehicle Accident/Collision,2016-10-23T00:58:49,Unintentional,October,Sunday
2364776,15000,52 - Electrical Failure,2015-12-08T11:53:33,Mechanical/Electrical Failure,December,Tuesday
2364777,5000,52 - Electrical Failure,2012-12-10T17:03:40,Mechanical/Electrical Failure,December,Monday
2364779,0,46 - Used or Placed too close to combustibles,2016-05-01T03:27:03,Misuse of ignition source/material ignited,May,Sunday
2364780,0,44 - Unattended,2015-12-10T19:16:17,Misuse of ignition source/material ignited,December,Thursday
2364781,6000,52 - Electrical Failure,2012-12-12T17:04:52,Mechanical/Electrical Failure,December,Wednesday
2364782,60000,12 - Vehicle Accident/Collision,2017-07-07T11:39:19,Unintentional,July,Friday
2364783,1000,44 - Unattended,2014-01-20T09:02:41,Misuse of ignition source/material ignited,January,Monday
2364784,5,45 - Improperly Discarded,2012-12-26T14:37:00,Misuse of ignition source/material ignited,December,Wednesday
2364786,100,52 - Electrical Failure,2011-03-11T11:55:03,Mechanical/Electrical Failure,March,Friday
2364787,250,45 - Improperly Discarded,2011-01-03T14:52:51,Misuse of ignition source/material ignited,January,Monday
2364788,700,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2011-01-03T19:28:17,Design/Construction/Maintenance deficiency,January,Monday
2364789,2000,20 - Design/Construction/Installation/Maintenance Deficiency,2011-01-20T17:27:32,Design/Construction/Maintenance deficiency,January,Thursday
2364790,2000,20 - Design/Construction/Installation/Maintenance Deficiency,2011-01-20T18:48:55,Design/Construction/Maintenance deficiency,January,Thursday
2364793,500,52 - Electrical Failure,2015-12-20T02:50:01,Mechanical/Electrical Failure,December,Sunday
2364794,15000,52 - Electrical Failure,2014-11-24T22:00:07,Mechanical/Electrical Failure,November,Monday
2364795,5000,51 - Mechanical Failure,2016-05-10T18:36:47,Mechanical/Electrical Failure,May,Tuesday
2364796,50,45 - Improperly Discarded,2013-01-18T08:37:27,Misuse of ignition source/material ignited,January,Friday
2364798,2000,11 - Children Playing (Ages 11 and under),2011-01-20T20:31:55,Unintentional,January,Thursday
2364799,10000,52 - Electrical Failure,2011-01-21T02:30:41,Mechanical/Electrical Failure,January,Friday
2364800,500,52 - Electrical Failure,2011-02-02T23:54:02,Mechanical/Electrical Failure,February,Wednesday
2364802,30000,45 - Improperly Discarded,2011-02-03T23:23:49,Misuse of ignition source/material ignited,February,Thursday
2364803,20000,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2011-02-05T03:57:18,Design/Construction/Maintenance deficiency,February,Saturday
2364807,5000,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2011-02-09T18:55:58,Design/Construction/Maintenance deficiency,February,Wednesday
2364809,10000,44 - Unattended,2011-02-10T11:33:59,Misuse of ignition source/material ignited,February,Thursday
2364810,500,44 - Unattended,2011-02-10T17:23:46,Misuse of ignition source/material ignited,February,Thursday
2364811,100000,44 - Unattended,2011-02-11T15:40:45,Misuse of ignition source/material ignited,February,Friday
2364813,5000,47 - Improper handling of ignition source or ignited material,2011-02-12T20:03:24,Misuse of ignition source/material ignited,February,Saturday
2364814,2000,52 - Electrical Failure,2011-02-13T10:29:34,Mechanical/Electrical Failure,February,Sunday
2364815,500,51 - Mechanical Failure,2011-02-13T16:12:23,Mechanical/Electrical Failure,February,Sunday
2364816,30000,52 - Electrical Failure,2011-02-13T17:55:10,Mechanical/Electrical Failure,February,Sunday
2364817,10000,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2011-02-13T19:20:26,Design/Construction/Maintenance deficiency,February,Sunday
2364818,15000,80 - Exposure fire,2011-02-14T04:50:44,Other,February,Monday
2364819,3000,44 - Unattended,2011-02-14T12:40:02,Misuse of ignition source/material ignited,February,Monday
2364820,15000,52 - Electrical Failure,2011-02-14T15:23:05,Mechanical/Electrical Failure,February,Monday
2364821,5000,50 - Other misuse of ignition source/material ignited,2011-02-14T16:21:49,Misuse of ignition source/material ignitedl,February,Monday
2364822,7500,44 - Unattended,2011-02-14T20:03:06,Misuse of ignition source/material ignited,February,Monday
